date,open,high,close,low,volume,p_change
2019-04-12,3986.78,4006.93,3988.62,3961.46,135862112.0,-0.22
2019-04-15,4056.49,4085.39,3975.52,3974.23,182645568.0,-0.33
2019-04-16,3958.1,4085.79,4085.79,3943.49,202041952.0,2.77
2019-04-17,4080.72,4106.62,4087.24,4057.5,180367120.0,0.04
2019-04-18,4085.11,4094.05,4072.08,4056.24,146562112.0,-0.37
2019-04-19,4076.3,4120.64,4120.61,4046.2,150794912.0,1.19
2019-04-22,4125.97,4126.09,4025.61,4015.47,189353744.0,-2.31
2019-04-23,4021.63,4061.09,4019.01,4005.28,155611648.0,-0.16
2019-04-24,4033.63,4044.34,4030.09,3967.81,145498688.0,0.28
2019-04-25,4013.6,4022.56,3941.82,3938.33,159722064.0,-2.19
2019-04-26,3921.89,3943.83,3889.27,3887.25,142008064.0,-1.33
2019-04-29,3896.58,3953.23,3900.33,3875.45,153870928.0,0.28
2019-04-30,3887.18,3923.11,3913.21,3885.15,116233376.0,0.33
2019-05-06,3775.08,3791.61,3684.62,3647.14,197472896.0,-5.84
2019-05-07,3702.27,3738.18,3720.67,3671.83,132847656.0,0.98
2019-05-08,3648.55,3722.93,3667.46,3642.5,112867360.0,-1.43
2019-05-09,3637.35,3656.9,3599.7,3584.82,101037392.0,-1.85
2019-05-10,3643.06,3732.92,3730.45,3589.29,148003856.0,3.63
2019-05-13,3675.76,3702.9,3668.73,3658.0,103391856.0,-1.65
2019-05-14,3630.44,3683.26,3645.15,3630.44,102313464.0,-0.64
2019-05-15,3674.99,3741.04,3727.09,3674.99,110161768.0,2.25
2019-05-16,3720.04,3745.14,3743.96,3707.9,116258272.0,0.45
2019-05-17,3744.88,3745.36,3648.76,3637.58,128453240.0,-2.54
2019-05-20,3635.74,3644.5,3617.79,3583.83,108963480.0,-0.85
2019-05-21,3619.44,3690.09,3666.78,3610.68,111022920.0,1.35
2019-05-22,3663.15,3679.27,3649.38,3634.75,98346128.0,-0.47
2019-05-23,3629.53,3631.47,3583.96,3578.11,99897784.0,-1.79
2019-05-24,3584.9,3623.39,3593.91,3580.79,80934048.0,0.28
2019-05-27,3592.6,3648.03,3637.2,3556.26,108830872.0,1.21
2019-05-28,3633.02,3683.23,3672.26,3627.79,117886240.0,0.96
2019-05-29,3642.54,3693.23,3663.91,3637.35,93355440.0,-0.23
2019-05-30,3648.85,3650.97,3641.18,3612.62,94202560.0,-0.62
2019-05-31,3641.0,3668.18,3629.79,3627.54,89222264.0,-0.31
2019-06-03,3640.61,3672.81,3632.01,3613.13,100723176.0,0.06
